OBJECTID,COUNTY,STATEFIPS,COUNTYFIPS,POP1900,POP1910,POP1920,POP1930,POP1940,POP1950,POP1960,POP1970,POP1980,POP1990,POP2000,POP2010,POP2020,EFF_DATE,REV_DATE,REV_TYPE,SQ_MILES,Shape_STAr,Shape_STLe,Household_Income,Latitude,Longitude
47,Crawford,5033,33,21270,23942,25739,22549,23920,22727,21318,25677,36892,42493,53247,61948,60133,,,,605.39453559,1567957290.69365,217263.926652132,60362,"35°27'33.42""N","94°21'40.73""W"
52,St. Francis,5123,123,17157,22548,28385,33394,36043,36841,33303,30799,30858,28497,29329,28258,23090,,,,642.67586669,1664516770.42109,200637.602073254,41784,"34°59'26.91""N","90°42'51.05""W"
63,Cleburne,5023,23,9628,11903,12696,11373,13134,11487,9059,10349,16909,19411,24046,25970,24711,,,,591.77993578,1532684084.60673,160144.036864629,55979,"35°29'36.84""N","92° 1'47.59""W"
64,Jackson,5067,67,18383,23501,25446,27943,26427,25912,22843,20452,21646,18944,18418,17997,16755,,,,641.36754031,1661117727.74797,241202.712044325,41215,"35°36'16.92""N","91°16'56.17""W"
65,White,5145,145,24864,28574,34603,38269,37176,38040,32745,39253,50835,54676,67165,77076,76822,,,,1041.50855428,2697542456.48882,339088.77060818,53435,"35°14'44.42""N","91°43'54.93""W"
66,Logan,5083,83,20563,26350,25866,24110,25967,20260,15957,16789,20144,20557,22486,22353,21131,,,,729.41717126,1889147954.44721,259587.304690739,54237,"35°17'32.22""N","93°43'49.24""W"
67,Yell,5149,149,22750,26323,25655,21313,20970,14057,11940,14208,17026,17759,21139,22185,20263,,,,947.80029015,2454835556.70283,283044.736767895,58870,"35°13'12.95""N","93° 9'52.47""W"
48,Izard,5065,65,13506,14561,13871,12872,12834,9953,6766,7381,10768,11364,13249,13696,13577,,,,583.56851676,1511427664.80045,187595.721387265,47728,"36° 7'10.01""N","92° 8'9.74""W"
49,Baxter,5005,5,9298,10389,10216,9519,10281,11683,9943,15319,27409,31186,38386,41513,41627,,,,586.29201602,1518453620.72307,214351.019268115,48427,"36° 9'58.57""N","92°26'27.34""W"
50,Searcy,5129,129,11988,14825,14590,11056,11942,10424,8124,7731,8847,7841,8261,8195,7828,,,,667.84545885,1729737565.8923,184126.513859331,41978,"35°54'35.74""N","92°37'51.76""W"
68,Saline,5125,125,13122,16657,16781,15660,19163,23816,28956,36107,53161,64183,83529,107118,123416,,,,729.87400996,1890438256.28473,259301.024729215,76534,"34°34'8.09""N","92°35'8.01""W"
69,Perry,5105,105,7294,9402,9905,7695,8392,5978,4927,5634,7266,7969,10209,10445,10019,,,,560.32927568,1451210624.94564,235277.554291837,60078,"34°57'41.57""N","92°53'46.84""W"
53,Lee,5077,77,19409,24252,28852,26637,26810,24322,21001,18884,15539,13053,12580,10424,8600,,,,622.29722949,1611807586.04215,251954.051221059,36860,"34°46'29.74""N","90°45'59.59""W"
54,Woodruff,5147,147,16304,20049,21547,22682,22133,18957,13954,11566,11222,9520,8741,7260,6269,,,,594.02788718,1538533511.98509,261935.264556047,49982,"35°17'15.29""N","91°21'52.28""W"
55,Monroe,5095,95,16816,19907,21601,20651,21133,19540,17327,15657,14052,11333,10254,8149,6799,,,,621.13851763,1608739111.00446,246985.646479983,43955,"34°41'17.51""N","91°18'1.57""W"
56,Phillips,5107,107,26561,33535,44530,40683,45970,46254,43997,40046,34772,28838,26445,21757,16568,,,,727.28518393,1883594818.18028,283668.799580228,38874,"34°31'48.05""N","90°34'53.92""W"
57,Arkansas,5001,1,12973,16103,21483,22300,24437,23665,23355,23347,24175,21653,20749,19019,17149,,,,1038.53314751,2689788513.724,338109.14315103,60831,"34°17'35.36""N","91°20'6.40""W"
58,Prairie,5117,117,11875,13853,17447,15187,15304,13768,10515,10249,10140,9518,9539,8715,8282,,,,675.17117279,1748685299.91182,269114.356672979,51094,"34°58'33.38""N","91°29'47.33""W"
59,Grant,5053,53,7671,9425,10710,9834,10477,9024,8294,9711,13008,13948,16464,17853,17958,,,,632.55207987,1638295707.32037,192002.349606841,72512,"34°18'28.37""N","92°24'3.28""W"
60,Desha,5041,41,11511,15274,20297,21814,27160,25155,20770,18761,19760,16798,15341,13008,11395,,,,812.51811128,2104387811.50991,395288.82363946,36064,"33°36'36.31""N","91°12'4.31""W"
70,Newton,5101,101,12538,10612,11199,10564,10881,8685,5963,5844,7756,7666,8608,8330,7225,,,,822.71987985,2130815921.36932,197721.273557822,47395,"36° 0'26.42""N","93°11'17.38""W"
61,Lincoln,5079,79,13389,15118,18774,20250,19709,17079,14447,12913,13369,13690,14492,14134,12941,,,,569.55969901,1475080986.70962,201290.348165812,51667,"33°56'26.24""N","91°50'42.73""W"
62,Independence,5063,63,22557,24776,23976,24225,25643,23488,20048,22723,30147,31192,34233,36647,37938,,,,771.22134859,1997492482.74506,228017.901177129,56009,"35°46'19.71""N","91°38'52.35""W"
71,Franklin,5047,47,17395,20638,19364,15762,15683,12358,10213,11301,14705,14897,17771,18125,17097,,,,619.7339376,1605102062.67852,219802.845534803,51919,"35°29'11.22""N","93°49'36.48""W"
72,Johnson,5071,71,17448,19698,21062,19289,18795,16138,12421,13630,17423,18221,22781,25540,25749,,,,683.4869793,1770210336.07761,208486.268840987,44808,"35°28'3.77""N","93°28'47.98""W"
73,Madison,5087,87,19864,16056,14918,13334,14531,11734,9068,9453,11373,11618,14243,15717,16521,,,,836.49572479,2166520101.50089,215268.872472706,53888,"36° 5'20.56""N","93°44'4.62""W"
75,Garland,5051,51,18773,27271,25785,36031,41664,47102,46697,54131,70531,73397,88068,96024,100180,,,,733.90454173,1900796878.91106,198782.484111731,55409,"34°30'33.21""N","93° 3'10.75""W"
74,Hot Spring,5059,59,12748,15022,17784,18105,18916,22181,21893,21963,26819,26115,30353,32923,33040,,,,621.74499709,1610270773.26046,219811.053502835,52838,"34°21'47.09""N","92°48'40.79""W"
